,gene,kl_divergence,p_value,fdr
142,Rab6a,0.16315186929707498,0.000999000999000999,0.004450398170876081
143,Laptm4a,0.16467774586227502,0.000999000999000999,0.004450398170876081
144,Nrxn1,0.1652626256279203,0.000999000999000999,0.004450398170876081
145,Oaz1,0.1653601260293542,0.000999000999000999,0.004450398170876081
146,Ybx1,0.16540503626980085,0.000999000999000999,0.004450398170876081
147,Dner,0.16558798701098693,0.000999000999000999,0.004450398170876081
148,Rac1,0.16559019647135034,0.000999000999000999,0.004450398170876081
149,Pink1,0.1662420861800919,0.000999000999000999,0.004450398170876081
150,Marcks,0.16654702964546414,0.000999000999000999,0.004450398170876081
151,Gja1,0.1665518580712942,0.000999000999000999,0.004450398170876081
152,H3f3b,0.16742602523025601,0.000999000999000999,0.004450398170876081
153,Gstm1,0.16782982208002373,0.000999000999000999,0.004450398170876081
154,Ppap2b,0.16847273814467625,0.000999000999000999,0.004450398170876081
155,Ptma,0.1684749200965064,0.000999000999000999,0.004450398170876081
156,Dnaja1,0.1687793178709745,0.000999000999000999,0.004450398170876081
157,Rasl10b,0.16964267095585034,0.000999000999000999,0.004450398170876081
158,Cox6b1,0.170004501342135,0.000999000999000999,0.004450398170876081
159,Ndufa4,0.1700736108168769,0.000999000999000999,0.004450398170876081
160,Cox8a,0.17023621525899332,0.000999000999000999,0.004450398170876081
161,Mdh2,0.17080989028947113,0.000999000999000999,0.004450398170876081
162,Atp5e,0.17083457817395395,0.000999000999000999,0.004450398170876081
163,Mrfap1,0.17191027006464682,0.000999000999000999,0.004450398170876081
164,Gm5148,0.1729133747235953,0.000999000999000999,0.004450398170876081
165,Serinc3,0.17327723303812986,0.000999000999000999,0.004450398170876081
166,Hspa8,0.17359514861013076,0.000999000999000999,0.004450398170876081
167,Matr3,0.17362268566598243,0.000999000999000999,0.004450398170876081
168,Epas1,0.17395179826158647,0.000999000999000999,0.004450398170876081
169,Pkm,0.17397505154339143,0.000999000999000999,0.004450398170876081
170,Snap25,0.1748252437372358,0.000999000999000999,0.004450398170876081
171,Dlgap1,0.1755266227017106,0.000999000999000999,0.004450398170876081
172,Gdi1,0.17577260032341313,0.000999000999000999,0.004450398170876081
173,Rab6b,0.17587711873159448,0.000999000999000999,0.004450398170876081
174,Sept7,0.17590183116277294,0.000999000999000999,0.004450398170876081
175,Csde1,0.1759075836972753,0.000999000999000999,0.004450398170876081
176,Tmem47,0.17625591356308218,0.000999000999000999,0.004450398170876081
177,Pgam1,0.17628909218376432,0.000999000999000999,0.004450398170876081
178,Taok1,0.1764087977769987,0.000999000999000999,0.004450398170876081
179,App,0.17641504776938535,0.000999000999000999,0.004450398170876081
180,Atp2a2,0.17644497616951188,0.000999000999000999,0.004450398170876081
181,Mir682,0.17715645180219644,0.000999000999000999,0.004450398170876081
182,Unc80,0.17784093956582972,0.000999000999000999,0.004450398170876081
183,Calr,0.17837194284113145,0.000999000999000999,0.004450398170876081
184,Oxct1,0.17877339017835442,0.000999000999000999,0.004450398170876081
185,Itm2c,0.1791345719208946,0.000999000999000999,0.004450398170876081
186,Rpl39,0.17949792781206186,0.000999000999000999,0.004450398170876081
187,Sptan1,0.17963639085242036,0.000999000999000999,0.004450398170876081
188,Aldoa,0.18021468693100776,0.000999000999000999,0.004450398170876081
189,Kif1a,0.18033568592032884,0.000999000999000999,0.004450398170876081
190,X6430548M08Rik,0.1803788702593756,0.000999000999000999,0.004450398170876081
191,Calb2,0.1808707655232841,0.000999000999000999,0.004450398170876081
192,Rpl13a,0.18097735288340844,0.000999000999000999,0.004450398170876081
193,Aak1,0.18101856121945403,0.000999000999000999,0.004450398170876081
194,Mtpn,0.18105621264326574,0.000999000999000999,0.004450398170876081
195,Macf1,0.18193998986745993,0.000999000999000999,0.004450398170876081
196,Ptprz1,0.18231978413560992,0.000999000999000999,0.004450398170876081
197,Ppp2ca,0.18235257511599795,0.000999000999000999,0.004450398170876081
198,Chd3,0.18250697441137398,0.000999000999000999,0.004450398170876081
199,Mmd2,0.1825148179858103,0.000999000999000999,0.004450398170876081
200,Prdx6,0.1826044326024753,0.000999000999000999,0.004450398170876081
201,Spag9,0.18270181803045268,0.000999000999000999,0.004450398170876081
202,Gnao1,0.18285326813303057,0.000999000999000999,0.004450398170876081
203,Hsp90b1,0.18311731851981458,0.000999000999000999,0.004450398170876081
204,Car2,0.18322781936476676,0.000999000999000999,0.004450398170876081
205,Cplx1,0.1832854917620154,0.000999000999000999,0.004450398170876081
206,Celf2,0.18412299348578867,0.000999000999000999,0.004450398170876081
207,Bcan,0.18419316646521333,0.000999000999000999,0.004450398170876081
208,Atp1a2,0.18440986359169798,0.000999000999000999,0.004450398170876081
209,Arhgef9,0.18482852377377618,0.000999000999000999,0.004450398170876081
210,Cox7c,0.1848916881121085,0.000999000999000999,0.004450398170876081
211,Rpl6,0.18494187665412307,0.000999000999000999,0.004450398170876081
