gene,cosine_similarity
Eif4h,0.8998771
Chst2,0.89978606
Luc7l2,0.89977586
Wbp2,0.8996673
Polr2m,0.89955395
Trim2,0.8994685
Rpl23,0.8994593
Ndufa6,0.89927024
Gm5506,0.89925975
Fgf12,0.8989044
Ncam1,0.89862746
Ogt,0.8985379
Camta1,0.8984505
Sub1,0.8984355
Rps3,0.8981845
Prrc2b,0.8980426
Eps15,0.8979519
Beta.s,0.89786476
Ncl,0.8974869
Map1lc3b,0.89745593
Arhgap5,0.8974286
Dnm1,0.8973669
Mapre2,0.89736426
Sepw1,0.8972963
Mlf2,0.8972568
Snhg11,0.8971164
Idh3a,0.8970254
Aplp1,0.896907
Ptprs,0.8968671
Cdhr1,0.89681286
Baalc,0.89660037
Tceb2,0.89632535
Serbp1,0.89602166
Dynll1,0.8959792
Nme1,0.8959366
Usp9x,0.8957683
Gnb2l1,0.89556175
Nsf,0.8953819
Mpc2,0.89535683
Sh3bgrl,0.8953346
Ndufa13,0.8952075
Spop,0.8951725
Rasgrp1,0.89515567
C330021F23Rik,0.8950178
Pitpna,0.89444304
Mtss1l,0.89436704
Pcp4,0.8942493
Prkacb,0.8939413
Ngfrap1,0.8939378
Slc32a1,0.8937828
Pcbp1,0.89372027
BC002163,0.8936261
Bnip3l,0.89358103
Ptp4a2,0.8935518
Atp5o,0.8934944
Zcchc18,0.89344573
Cmip,0.8932647
Ptms,0.89321375
Cdk14,0.8931605
Atpif1,0.89300257
Hnrpdl,0.89295506
Gls,0.89273727
Eid1,0.8925387
Atxn7l3b,0.8924219
Map2k1,0.8924209
Sep15,0.8923943
Mt3,0.89225036
Ywhaz,0.892171
Sec62,0.8918618
Ptprz1,0.8917432
Basp1,0.89137435
Ccdc88a,0.8912182
Ptprn,0.8911844
Mycbp2,0.89110285
Luzp2,0.8909884
Psd3,0.89093596
Gtf2i,0.8908932
Clip3,0.890861
Rps5,0.8908037
Ctsd,0.89078367
Atp6v0b,0.89075613
Arglu1,0.89061594
Timp2,0.8905308
Rpl7a,0.89050543
Nrxn2,0.8901106
Nsg1,0.8898888
Atxn10,0.8898815
Spred1,0.88980293
Zranb2,0.8896762
Slc38a2,0.88967305
Stox2,0.8896062
Sdha,0.88931346
Dazap2,0.8892967
Eif5,0.8891165
Arpc2,0.8890668
Rpl32,0.8890643
Pabpc1,0.8890078
Ash1l,0.8888502
Pfkm,0.888816
Clasp2,0.8887364
Zfp106,0.88868695
Fkbp1a,0.8883549
Nisch,0.8883356
Dstn,0.8882
Epb4.1l1,0.88787556
Zfand5,0.8878407
Atp6v1b2,0.88778245
Ube2b,0.887716
D4Wsu53e,0.88769644
Arrb1,0.88766587
Abi2,0.88760304
Kif5b,0.88717717
Syp,0.8870154
Ubqln2,0.88700855
Aco2,0.88687706
Ndufb5,0.88680536
Pla2g7,0.88677704
Btbd3,0.8866636
Srsf1,0.8866446
R3hdm1,0.8866443
Cdk5r1,0.8864298
Map1lc3a,0.8863291
Sfxn5,0.8859866
Prdx1,0.8859667
Astn1,0.8859261
Ndufa3,0.8859206
Bmpr2,0.8853978
Rpl21,0.8852778
Pgrmc1,0.885033
Rps6,0.88481545
Sf3b1,0.8846498
Tsc22d1,0.884611
Ndufv2,0.88454396
Ndufs3,0.8845266
S100b,0.88449335
Hnrnpl,0.88443965
Mef2c,0.8843913
Eif4a1,0.884185
Pcdh10,0.88414717
Rhoa,0.8841206
Gabarapl2,0.8839875
Cpne6,0.88393897
Sipa1l1,0.8837967
Rps27a,0.88345873
Slc25a23,0.8834439
Rps23,0.8833438
Mff,0.8833339
Hspa9,0.883133
Cdkn1b,0.88306415
Brk1,0.8829432
Mbnl2,0.8829032
Gnai1,0.8828555
Rps4x,0.88257974
Ahcyl2,0.88241667
Tmem66,0.8822434
Slc38a1,0.88181216
Rbfox2,0.8817553
Slc38a3,0.8814533
Rps14,0.88139886
Khdrbs1,0.8813599
Dynlrb1,0.8812951
Hp1bp3,0.88114905
Hsph1,0.8811114
Camk2b,0.8809568
Cbx6,0.8809473
Dst,0.8808825
Kif1b,0.8806907
Rps11,0.88067526
Kidins220,0.8805402
Chmp4b,0.88051015
Grcc10,0.8803894
Hmgcs1,0.8801702
Fam168b,0.8801473
Zfp706,0.88011575
Uba1,0.87997353
Sirt2,0.8798802
Eef1b2,0.87976205
Ncor1,0.87960255
Myeov2,0.87959546
Kif5a,0.87955564
Sh3gl2,0.8793613
Slc4a10,0.87925804
Wnk1,0.87924635
Srsf3,0.87922704
Atp5j2,0.8790997
Ube2d3,0.8789781
Rpl37a,0.87883395
Rbfox1,0.8788296
Rpl18a,0.87874275
Plekhb2,0.8787206
Csdc2,0.87868065
Ppp3r1,0.87838817
Tardbp,0.8783362
Hivep2,0.878103
Hnrnph1,0.87805134
Dusp3,0.8780294
Synj1,0.877988
Rplp2,0.87775445
Clta,0.87763387
Tulp4,0.8776252
Etnk1,0.8774577
Mgea5,0.8772842
H2afz,0.8769783
Zmynd11,0.87680036
Gnaq,0.87679946
Rasgrf1,0.87670624
Uqcr10,0.8766607
Dld,0.8766365
Nono,0.87653434
Uqcrc1,0.8764851
Glrb,0.8764781
Pclo,0.8764256
Hnrnpc,0.8763169
Gabrb2,0.8762218
Ubqln1,0.8759245
Gde1,0.87562597
Minos1,0.8754162
Pnmal2,0.87540376
Nudt3,0.87537634
Atp5f1,0.8753116
Add1,0.8751267
Ypel5,0.8751133
Vps35,0.874887
Rps15,0.8748783
G3bp2,0.8742711
Hnrnpab,0.8741222
Ap2m1,0.8740889
Uqcrb,0.874074
Pcbp3,0.8739871
Got2,0.87381965
Rad21,0.87377566
Eif3a,0.87360406
Vsnl1,0.8735994
Ldha,0.8735542
Prex2,0.8735415
Ndufb8,0.87354136
Ube2k,0.8734983
Tmem59,0.87338436
Ank3,0.8733476
Chtop,0.87323594
Adcyap1r1,0.87314475
Syne1,0.87306505
Gabrg2,0.873059
Ptges3,0.87290627
Epb4.1l3,0.8728845
Hnrnpd,0.87284416
Scg5,0.87278885
Atp6ap2,0.8727044
Spire1,0.8726932
Efhd2,0.87263775
Morf4l2,0.8724747
Itm2a,0.87244457
Gabrb3,0.87231934
Ednrb,0.8722322
Tubb3,0.8716536
Hnrnpk,0.8714955
Sf3b2,0.87147146
Ctsl,0.8714675
Slc8a1,0.87125874
Cyfip2,0.87114376
Ogfrl1,0.8711356
Fam168a,0.87066096
Sdhb,0.870612
Hmgn1,0.87059915
